Price Data,,,,,,,,,,,,
sourced from LSEG (03/01/2022 - 06/02/2026),,,,,,,,,,,,
,,,,,,,,,,,,
Close Price,,,,Log Returns,,,,,,,,
Date,Boyd Gaming Corp,American Airlines Group Inc,Brinker International Inc,Boyd Gaming Corp,American Airlines Group Inc,Brinker International Inc,,,,,,
Ticker,BYD,AAL,EAT,BYD,AAL,EAT,,,Correlation Matrix,,,
03/01/2022,64.93,18.75,37.67,,,,,,computed using Data Solver,,,
04/01/2022,64.99,19.02,38.44,0.000923645,0.014297305,0.020234562,,,,BYD,AAL,EAT
05/01/2022,62.38,18.68,38.34,-0.040988701,-0.018037624,-0.002604846,,,BYD,1,0.5219,0.4665
06/01/2022,63.28,18.57,38.1,0.014324612,-0.005906057,-0.006279455,,,AAL,0.5219,1,0.4250
07/01/2022,63.52,19.28,37.72,0.003785493,0.037520914,-0.010023824,,,EAT,0.4665,0.4250,1
10/01/2022,62.54,18.79,38.04,-0.015548465,-0.025743476,0.00844778,,,,,,
11/01/2022,63.69,19.02,37.24,0.018221212,0.012166244,-0.021254785,,,Cholesky Matrix,,,
12/01/2022,63.5,18.5,36.32,-0.002987658,-0.027720325,-0.025014899,,,computed using python,,,
13/01/2022,62.4,19.34,38.01,-0.017474631,0.044404758,0.045480729,,,,BYD,AAL,EAT
14/01/2022,60.69,18.49,36.43,-0.027786336,-0.044945445,-0.042456672,,,BYD,1,0,0
18/01/2022,59.59,17.9,34.2,-0.018291165,-0.032429333,-0.063166967,,,AAL,0.5219,0.8530,0
19/01/2022,57.7,17.31,34.46,-0.032230601,-0.033516344,0.007573587,,,EAT,0.4665,0.2129,0.8585
20/01/2022,57.72,16.76,33.1,0.00034656,-0.032289274,-0.040265949,,,,,,
21/01/2022,56.44,16.3,32.8,-0.022425607,-0.027829987,-0.009104767,,,,,,
24/01/2022,58.92,16.41,34.99,0.043002465,0.006725797,0.064633791,,,,,,
25/01/2022,60.19,16.46,35.14,0.021325634,0.00304229,0.004277776,,,,,,
26/01/2022,59.45,16.24,33.72,-0.012370602,-0.013455861,-0.04124895,,,,,,
27/01/2022,57.74,15.78,31.82,-0.029185449,-0.028734019,-0.05799611,,,,,,
28/01/2022,58.88,15.64,31.79,0.0195513,-0.00891158,-0.000943248,,,,,,
31/01/2022,59.46,16.47,33.21,0.009802343,0.051708809,0.04369926,,,,,,
01/02/2022,61.15,16.83,34.73,0.028026045,0.021622464,0.044752831,,,,,,
02/02/2022,60.21,16.96,37.63,-0.015491411,0.007694622,0.080197738,,,,,,
03/02/2022,59.55,16.57,37.22,-0.011022156,-0.023263799,-0.010955353,,,,,,
04/02/2022,63.42,16.45,37.76,0.062962973,-0.007268354,0.01440409,,,,,,
07/02/2022,64.84,17.28,38.95,0.022143428,0.049224286,0.031028431,,,,,,
08/02/2022,65.43,18.26,40.62,0.009058172,0.055163112,0.041981784,,,,,,
09/02/2022,69.5,18.76,42.16,0.060345884,0.027014068,0.037211348,,,,,,
10/02/2022,70.72,18.71,41.36,0.017401666,-0.002668803,-0.019157674,,,,,,
11/02/2022,69.57,17.61,41.11,-0.016394978,-0.060591218,-0.006062829,,,,,,
14/02/2022,68.34,17.43,41.01,-0.017838193,-0.010274063,-0.002435462,,,,,,
15/02/2022,69.9,18.84,42.52,0.022570403,0.07778941,0.036158614,,,,,,
16/02/2022,71.17,18.82,43.36,0.018005732,-0.001062135,0.019562804,,,,,,
17/02/2022,69.26,18.22,41.63,-0.027203842,-0.032400242,-0.040716296,,,,,,
18/02/2022,68.41,17.87,42.85,-0.012348526,-0.019396563,0.028884584,,,,,,
22/02/2022,66.83,17.43,41.32,-0.023366931,-0.02493047,-0.036359001,,,,,,
23/02/2022,66.57,16.64,40.59,-0.003898056,-0.046383424,-0.017824913,,,,,,
24/02/2022,68.62,16.96,41.66,0.030330012,0.019048195,0.026019705,,,,,,
25/02/2022,70.48,17.46,42.84,0.026744944,0.02905492,0.02793081,,,,,,
28/02/2022,70.94,17.25,42.54,0.006505468,-0.012100407,-0.007027436,,,,,,
01/03/2022,68.15,16.29,39.7,-0.040123291,-0.057260721,-0.069093622,,,,,,
02/03/2022,70.08,16.37,41.63,0.027926288,0.004898969,0.047469874,,,,,,
03/03/2022,69.1,15.71,38.75,-0.014082716,-0.041152939,-0.071690305,,,,,,
04/03/2022,67.05,14.59,36.83,-0.030116121,-0.07396109,-0.050818025,,,,,,
07/03/2022,60.05,12.84,31.33,-0.110261061,-0.127771064,-0.161736625,,,,,,
08/03/2022,61.41,13.51,32.67,0.02239514,0.050864854,0.041881121,,,,,,
09/03/2022,64.48,14.3,34.9,0.04878241,0.056829385,0.066029604,,,,,,
10/03/2022,64.68,14.2,35.6,0.003096937,-0.007017573,0.019858809,,,,,,
11/03/2022,64.22,14.02,35.25,-0.007137346,-0.012757083,-0.009880109,,,,,,
14/03/2022,62.6,14.25,33.93,-0.025549411,0.016272025,-0.03816595,,,,,,
15/03/2022,66.02,15.57,33.79,0.053192448,0.088589079,-0.004134678,,,,,,
16/03/2022,68.34,16.47,35.78,0.03453752,0.056194558,0.057224177,,,,,,
17/03/2022,68.13,16.55,35.43,-0.003077602,0.004845558,-0.009830159,,,,,,
18/03/2022,68.88,16.75,35.98,0.010948215,0.012012156,0.01540431,,,,,,
21/03/2022,68.1,16.09,35.98,-0.011388647,-0.040200297,0,,,,,,
22/03/2022,69.07,16.56,37.47,0.01414327,0.028792188,0.040577384,,,,,,
23/03/2022,68.05,16.21,36.92,-0.014877754,-0.021361813,-0.014787203,,,,,,
24/03/2022,69,16.72,37.8,0.013863775,0.030977272,0.023555693,,,,,,
25/03/2022,69.01,17.01,36.08,0.000144917,0.017195799,-0.046570407,,,,,,
28/03/2022,67.64,17.3,36.18,-0.020051898,0.016905095,0.002767785,,,,,,
29/03/2022,68.27,18.16,38.28,0.009270907,0.048514872,0.056421087,,,,,,
30/03/2022,66.97,18.05,37.34,-0.019225674,-0.006075688,-0.024862428,,,,,,
31/03/2022,65.78,18.25,38.16,-0.017928917,0.011019395,0.021722708,,,,,,
01/04/2022,65.35,18.24,36.96,-0.006558401,-0.000548095,-0.0319516,,,,,,
04/04/2022,66.64,18.23,37.73,0.019547558,-0.000548396,0.020619287,,,,,,
05/04/2022,65.28,17.84,36.15,-0.020619287,-0.021625462,-0.042778585,,,,,,
06/04/2022,62.61,17.38,35.09,-0.041760701,-0.026123007,-0.029760759,,,,,,
07/04/2022,61.67,16.95,35.01,-0.015127421,-0.025052286,-0.002282455,,,,,,
08/04/2022,61.97,16.59,33.98,0.004852808,-0.02146773,-0.029861619,,,,,,
11/04/2022,61.12,16.97,34.6,-0.013811252,0.022646975,0.018081566,,,,,,
12/04/2022,61.05,17.13,35.54,-0.001145944,0.009384233,0.026805141,,,,,,
13/04/2022,62.84,18.95,37.16,0.028898613,0.100972619,0.044574091,,,,,,
14/04/2022,62.3,19,36.02,-0.008630388,0.002635048,-0.031158574,,,,,,
18/04/2022,63.16,18.54,36.2,0.013709764,-0.024508419,0.004984779,,,,,,
19/04/2022,65.11,19.59,37.26,0.030406958,0.055088672,0.028861246,,,,,,
20/04/2022,66.27,19.48,37.49,0.017659159,-0.005630934,0.006153866,,,,,,
21/04/2022,64.09,20.22,38.83,-0.033448961,0.037283915,0.035118913,,,,,,
22/04/2022,62.8,20.18,38.61,-0.020333272,-0.001980199,-0.005681833,,,,,,
25/04/2022,64.2,19.98,41.12,0.022048137,-0.009960242,0.062983311,,,,,,
26/04/2022,62.32,18.77,39.42,-0.029720809,-0.062471923,-0.042221319,,,,,,
27/04/2022,60.16,18.97,38.39,-0.035274722,0.010598933,-0.026476293,,,,,,
28/04/2022,61.75,19.43,38.84,0.026086296,0.023959479,0.011653634,,,,,,
29/04/2022,60.58,18.77,36.33,-0.01912917,-0.034558413,-0.066806797,,,,,,
02/05/2022,60.97,18.56,38.84,0.006417134,-0.011251123,0.066806797,,,,,,
03/05/2022,61.19,19.13,39.46,0.003601838,0.030249056,0.015836857,,,,,,
04/05/2022,59.62,19.62,34.65,-0.025992689,0.025291671,-0.129989775,,,,,,
05/05/2022,58.39,18.54,34.6,-0.020846446,-0.056618894,-0.001444044,,,,,,
06/05/2022,58.35,17.84,35.53,-0.000685284,-0.038487433,0.026523728,,,,,,
09/05/2022,55.03,16.32,31.35,-0.058580868,-0.089051778,-0.125163143,,,,,,
10/05/2022,54.52,16.57,33.36,-0.009310884,0.015202482,0.06214331,,,,,,
11/05/2022,53.33,15.97,32.25,-0.022068582,-0.036881869,-0.033839534,,,,,,
12/05/2022,54.01,15.49,33.8,0.01267019,-0.030517308,0.046942759,,,,,,
13/05/2022,56.5,16.58,34.18,0.045071424,0.068002495,0.011179875,,,,,,
16/05/2022,55.09,16.55,32.15,-0.025272427,-0.001811048,-0.061228227,,,,,,
17/05/2022,56.44,17.82,32.35,0.024209915,0.07393532,0.00620157,,,,,,
18/05/2022,54.07,16.89,29.89,-0.042898624,-0.053599691,-0.079090045,,,,,,
19/05/2022,54.5,16.75,28.51,0.007921198,-0.008323473,-0.047269073,,,,,,
20/05/2022,55.01,16.26,27.36,0.009314285,-0.029690154,-0.04117281,,,,,,
23/05/2022,54.75,16.75,26.93,-0.004737618,0.029690154,-0.015841186,,,,,,
24/05/2022,52.49,15.5,25.46,-0.042154693,-0.077558234,-0.056132314,,,,,,
25/05/2022,55.55,16.13,27.84,0.056660841,0.039840868,0.089365242,,,,,,
26/05/2022,59.52,17.24,29.25,0.069028874,0.066551373,0.049405738,,,,,,
27/05/2022,59.33,18.13,30.52,-0.00319731,0.05033576,0.042502633,,,,,,
31/05/2022,58.77,17.87,30.35,-0.00948356,-0.014444696,-0.005585689,,,,,,
01/06/2022,57.72,17.29,30.04,-0.018027787,-0.032995029,-0.010266691,,,,,,
02/06/2022,59.92,17.46,31.03,0.037406605,0.009784251,0.032424652,,,,,,
03/06/2022,59.39,16.22,29.93,-0.008884477,-0.073667502,-0.036093157,,,,,,
06/06/2022,60.17,16.3,29.98,0.013048027,0.004920059,0.001669171,,,,,,
07/06/2022,60.43,16.69,30.11,0.004311781,0.02364463,0.00432685,,,,,,
08/06/2022,59.81,16.15,29.92,-0.010312799,-0.032889688,-0.006330189,,,,,,
09/06/2022,59.03,15.47,29.48,-0.013127082,-0.043017385,-0.014815086,,,,,,
10/06/2022,55.54,14.71,27.92,-0.060942307,-0.05037513,-0.054368789,,,,,,
13/06/2022,51.4,13.32,25.69,-0.077465309,-0.09926087,-0.083241467,,,,,,
14/06/2022,52.09,12.95,25.87,0.013334819,-0.028170877,0.006982185,,,,,,
15/06/2022,53.2,13.31,26.46,0.021085405,0.027419844,0.022550162,,,,,,
16/06/2022,50.12,12.16,23.94,-0.059638266,-0.090363756,-0.100083459,,,,,,
17/06/2022,51.66,12.94,24.11,0.030263658,0.062171413,0.007075992,,,,,,
21/06/2022,50.83,13.04,23.21,-0.016197056,0.007698267,-0.038043472,,,,,,
22/06/2022,49.75,13.1,23.32,-0.021476268,0.004590674,0.004728141,,,,,,
23/06/2022,49.05,12.98,23.63,-0.014170278,-0.009202519,0.01320573,,,,,,
24/06/2022,53.38,13.9,23.97,0.084595958,0.068479129,0.014285957,,,,,,
27/06/2022,52.44,13.56,23.39,-0.017766485,-0.024764558,-0.024494468,,,,,,
28/06/2022,51.82,13.5,22.76,-0.011893484,-0.004434597,-0.027303971,,,,,,
29/06/2022,50.58,13.03,22.41,-0.024219934,-0.035435294,-0.015497321,,,,,,
30/06/2022,49.75,12.68,22.03,-0.016545778,-0.027228442,-0.017102127,,,,,,
01/07/2022,51.11,13.13,22.58,0.026969709,0.034873739,0.024659398,,,,,,
05/07/2022,51.87,13.88,23.67,0.014760416,0.055549267,0.047143865,,,,,,
06/07/2022,50.46,13.89,22.51,-0.027559645,0.000720202,-0.050248769,,,,,,
07/07/2022,51,14.1,23.31,0.01064469,0.015005641,0.034922798,,,,,,
08/07/2022,49.62,13.97,22.77,-0.027431654,-0.009262624,-0.023438573,,,,,,
11/07/2022,49.01,13.43,22.3,-0.012369619,-0.039421163,-0.020857202,,,,,,
12/07/2022,49.92,14.77,22.81,0.018397365,0.095107086,0.022612358,,,,,,
13/07/2022,50.31,14.31,22.9,0.00778214,-0.031639503,0.003937874,,,,,,
14/07/2022,49.69,14.25,22.28,-0.012400159,-0.004201687,-0.027447496,,,,,,
15/07/2022,52.14,14.47,22.98,0.048128703,0.015320634,0.030934857,,,,,,
18/07/2022,52.74,14.54,23.18,0.011441772,0.004825931,0.008665565,,,,,,
19/07/2022,54.5,15.16,24.82,0.032826521,0.041756908,0.068359942,,,,,,
20/07/2022,54.91,15.21,25.6,0.00749478,0.003292726,0.030942572,,,,,,
21/07/2022,55.67,14.08,25.41,0.013745921,-0.077197756,-0.007449554,,,,,,
22/07/2022,54.64,13.68,25.35,-0.018675187,-0.028820439,-0.002364067,,,,,,
25/07/2022,55.2,13.75,24.93,0.010196738,0.005103912,-0.016706833,,,,,,
26/07/2022,54.28,13.43,23.62,-0.016807118,-0.023547814,-0.053978087,,,,,,
27/07/2022,55.64,13.97,24.33,0.024746532,0.039421163,0.029616346,,,,,,
28/07/2022,55.71,13.76,26.84,0.001257297,-0.015146341,0.098183155,,,,,,
29/07/2022,55.51,13.71,27.75,-0.003596479,-0.003640339,0.033342528,,,,,,
01/08/2022,55.03,14.28,27.6,-0.008684694,0.040734463,-0.005420067,,,,,,
02/08/2022,54.97,14.06,28.05,-0.001090909,-0.015526071,0.016172859,,,,,,
03/08/2022,55.27,14.63,29.5,0.005442684,0.039740329,0.050401631,,,,,,
04/08/2022,55.5,14.86,28.31,0.004152755,0.015598824,-0.041175164,,,,,,
05/08/2022,54.22,14.74,27.92,-0.023333177,-0.008108153,-0.013871821,,,,,,
08/08/2022,55.23,15.02,29.53,0.01845644,0.01881776,0.056063418,,,,,,
09/08/2022,55.03,14.62,28.67,-0.003627793,-0.026992192,-0.029555416,,,,,,
10/08/2022,56.23,15.07,30.31,0.021571931,0.030315558,0.055626411,,,,,,
11/08/2022,56.59,14.99,31.4,0.006381869,-0.005322701,0.035330202,,,,,,
12/08/2022,57.73,15.25,32.88,0.019944678,0.017196191,0.046056677,,,,,,
15/08/2022,57.77,15.33,32.85,0.000692641,0.00523219,-0.000912825,,,,,,
16/08/2022,58.31,15.5,33.35,0.009303995,0.011028331,0.015106027,,,,,,
17/08/2022,57,14.96,32.81,-0.022722337,-0.035460051,-0.016324425,,,,,,
18/08/2022,57.39,14.84,33.28,0.006818804,-0.008053735,0.014223269,,,,,,
19/08/2022,55.85,14.17,31.64,-0.027200547,-0.046199184,-0.050534473,,,,,,
22/08/2022,55.06,13.71,29.71,-0.014246026,-0.03300156,-0.062938453,,,,,,
23/08/2022,55.55,13.82,30.34,0.008860016,0.007991325,0.020983284,,,,,,
24/08/2022,55.96,13.99,28.84,0.007353634,0.01222597,-0.050703662,,,,,,
25/08/2022,57.23,14.42,28.61,0.022441087,0.030273343,-0.008007005,,,,,,
26/08/2022,56.03,13.74,26.38,-0.021190975,-0.048304845,-0.08115016,,,,,,
29/08/2022,55.9,13.51,25.99,-0.002322881,-0.016881135,-0.014894299,,,,,,
30/08/2022,54.69,13.33,25.54,-0.021883503,-0.013413018,-0.017465998,,,,,,
31/08/2022,54.43,12.99,24.51,-0.004765405,-0.025837304,-0.041164653,,,,,,
01/09/2022,53.53,12.93,25.49,-0.016673228,-0.004629638,0.039205021,,,,,,
02/09/2022,53.24,12.99,25.79,-0.005432251,0.004629638,0.011700602,,,,,,
06/09/2022,53.12,13.22,25.06,-0.002256488,0.017551004,-0.02871387,,,,,,
07/09/2022,54.84,13.89,26.86,0.03186635,0.049438322,0.069365242,,,,,,
08/09/2022,55.09,13.96,28.42,0.004548357,0.005026941,0.056454932,,,,,,
09/09/2022,56.78,14.19,29.65,0.03021594,0.016341394,0.042369003,,,,,,
12/09/2022,57.26,14.47,29.69,0.008418149,0.019540049,0.001348163,,,,,,
13/09/2022,54.4,13.68,28.4,-0.051238146,-0.056142628,-0.044421144,,,,,,
14/09/2022,54.57,14.03,28.65,0.003120127,0.025262982,0.008764298,,,,,,
15/09/2022,53.76,14.27,28.86,-0.014954585,0.016961537,0.00730311,,,,,,
16/09/2022,51.85,13.75,28.34,-0.036174762,-0.037120607,-0.018182319,,,,,,
